ObjId,range,speed,angle,snr,Kstate,OboCarSpeed,heigh,heighAngle,X,Y,EstimateCarSpeed,EstimateMagCarSpeed,FcwID0,FcwId1,FcwId2,FcwTTc,FcwPet,ObdCarYawRate,DaiShiYawRate,SelfCalcAngle,SenceFlag,SortFlag,trkReiablility,RadiusCurvature,Xaccel,Yaccel,AgcSw,AgcType,DbfMag,FrameIntervalTime,installAngleOffset,ObjLength,ObjWidth,x rms,y rms,vx rms,vy rms,ax rms,ay rms,A rms,MeasCounter,MAtr,AccX,AccY,AccZ,errorCode
START,FrameNb:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/07/01 17:27:33:897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24.2,-9.4,26,8,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,153,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
13,34.6,-9.4,-21,7,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,149,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
14,29.2,-9,-25,9,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,155,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
15,194,50.8,3,6,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,149,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
16,26,-8.8,-28,11,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,157,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
17,15,-8,-87,1,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,126,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
18,143.6,-5.2,-3,14,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,156,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
19,180.8,10,-38,7,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,144,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
20,54,-2.8,5.25,6,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,136,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
21,177.6,-2.8,1.25,1,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,136,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
22,1024,-5,-3.25,14,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,159,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
23,10.2,0.2,6.5,45,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,243,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
24,18.6,3.2,-7,24,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,193,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
25,19.4,3.2,-9,24,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,196,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
26,21.4,3.2,-7.5,22,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,189,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
27,21.6,3.2,-6.75,15,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,170,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
28,22.8,3.2,-4.25,14,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,168,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
29,40,-9.8,18,17,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,174,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
30,42.2,-24.4,16,16,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,172,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
31,52.6,-9.8,-13,13,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,163,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
